ID_Perjalanan,ID_StasiunAwal,ID_StasiunTujuan,ID_Kereta,Tgl_Keberangkatan,Waktu_Keberangkatan,Tgl_Tiba,Waktu_Tiba,Harga_Tiket
PRJ0000001,ST00006,ST00041,KRT00049,2025-11-07,14:02:06,2025-11-07,22:02:06,399742
PRJ0000002,ST00050,ST00085,KRT00005,2025-11-18,09:26:27,2025-11-18,12:26:27,289694
PRJ0000003,ST00017,ST00065,KRT00013,2025-11-14,08:39:14,2025-11-14,14:39:14,485973
PRJ0000004,ST00057,ST00013,KRT00093,2025-10-26,15:05:54,2025-10-26,23:05:54,38046
PRJ0000005,ST00019,ST00053,KRT00061,2025-11-12,19:03:12,2025-11-12,22:03:12,69231
PRJ0000006,ST00034,ST00044,KRT00011,2025-10-29,00:11:08,2025-10-29,07:11:08,370701
PRJ0000007,ST00043,ST00087,KRT00081,2025-10-23,04:45:23,2025-10-23,11:45:23,196021
PRJ0000008,ST00092,ST00098,KRT00070,2025-11-10,10:10:36,2025-11-10,18:10:36,487379
PRJ0000009,ST00005,ST00080,KRT00081,2025-11-04,04:17:47,2025-11-04,06:17:47,153087
PRJ0000010,ST00088,ST00037,KRT00012,2025-11-18,11:18:09,2025-11-18,15:18:09,421520
PRJ0000011,ST00056,ST00013,KRT00022,2025-11-12,03:24:57,2025-11-12,05:24:57,262615
PRJ0000012,ST00089,ST00039,KRT00042,2025-11-11,21:23:36,2025-11-11,22:23:36,54112
PRJ0000013,ST00008,ST00038,KRT00056,2025-11-02,21:53:16,2025-11-03,03:53:16,226524
PRJ0000014,ST00019,ST00032,KRT00088,2025-10-30,03:11:21,2025-10-30,10:11:21,326709
PRJ0000015,ST00024,ST00022,KRT00079,2025-10-29,04:21:40,2025-10-29,07:21:40,71402
PRJ0000016,ST00049,ST00080,KRT00075,2025-11-19,09:00:54,2025-11-19,13:00:54,290920
PRJ0000017,ST00019,ST00030,KRT00033,2025-10-26,03:08:04,2025-10-26,11:08:04,364445
PRJ0000018,ST00059,ST00033,KRT00060,2025-11-15,06:50:50,2025-11-15,07:50:50,451859
PRJ0000019,ST00037,ST00087,KRT00057,2025-10-21,03:12:59,2025-10-21,06:12:59,68724
PRJ0000020,ST00045,ST00076,KRT00055,2025-10-26,16:30:14,2025-10-26,21:30:14,364987
PRJ0000021,ST00089,ST00033,KRT00039,2025-10-29,00:31:08,2025-10-29,08:31:08,473182
PRJ0000022,ST00026,ST00050,KRT00031,2025-11-13,09:55:58,2025-11-13,17:55:58,85917
PRJ0000023,ST00049,ST00074,KRT00038,2025-11-09,15:31:43,2025-11-09,21:31:43,331366
