ID_Tiket,ID_Kursi,ID_Perjalanan,ID_Transaksi,Status_Tiket
TKT00000001,KS000008,PRJ0000001,TRX0000027,Dibatalkan
TKT00000002,KS000028,PRJ0000099,TRX0000018,Dibatalkan
TKT00000003,KS000038,PRJ0000042,TRX0000016,Terjual
TKT00000004,KS000064,PRJ0000096,TRX0000056,Terjual
TKT00000005,KS000017,PRJ0000049,TRX0000069,Terjual
TKT00000006,KS000065,PRJ0000072,TRX0000086,Dibatalkan
TKT00000007,KS000010,PRJ0000051,TRX0000095,Terjual
TKT00000008,KS000056,PRJ0000003,TRX0000059,Terjual
TKT00000009,KS000041,PRJ0000074,TRX0000055,Dibatalkan
TKT00000010,KS000091,PRJ0000082,TRX0000054,Dibatalkan
TKT00000011,KS000015,PRJ0000052,TRX0000003,Dibatalkan
TKT00000012,KS000022,PRJ0000080,TRX0000059,Dibatalkan
TKT00000013,KS000012,PRJ0000056,TRX0000014,Terjual
TKT00000014,KS000056,PRJ0000076,TRX0000052,Terjual
TKT00000015,KS000051,PRJ0000040,TRX0000096,Dibatalkan
TKT00000016,KS000029,PRJ0000043,TRX0000100,Terjual
TKT00000017,KS000010,PRJ0000066,TRX0000082,Terjual
TKT00000018,KS000068,PRJ0000066,TRX0000025,Dibatalkan
TKT00000019,KS000045,PRJ0000094,TRX0000083,Terjual
TKT00000020,KS000031,PRJ0000014,TRX0000019,Dibatalkan
TKT00000021,KS000026,PRJ0000023,TRX0000078,Terjual
TKT00000022,KS000098,PRJ0000098,TRX0000084,Terjual
TKT00000023,KS000023,PRJ0000099,TRX0000081,Dibatalkan
TKT00000024,KS000060,PRJ0000097,TRX0000073,Dibatalkan
TKT00000025,KS000088,PRJ0000073,TRX0000083,Dibatalkan
TKT00000026,KS000081,PRJ0000041,TRX0000020,Dibatalkan
TKT00000027,KS000009,PRJ0000061,TRX0000057,Dibatalkan
TKT00000028,KS000036,PRJ0000076,TRX0000008,Dibatalkan
TKT00000029,KS000065,PRJ0000010,TRX0000040,Dibatalkan
TKT00000030,KS000058,PRJ0000005,TRX0000008,Dibatalkan
TKT00000031,KS000037,PRJ0000010,TRX0000083,Terjual
TKT00000032,KS000079,PRJ0000077,TRX0000065,Dibatalkan
TKT00000033,KS000060,PRJ0000075,TRX0000071,Terjual
TKT00000034,KS000058,PRJ0000074,TRX0000084,Terjual
TKT00000035,KS000042,PRJ0000078,TRX0000061,Terjual
TKT00000036,KS000008,PRJ0000058,TRX0000014,Dibatalkan
TKT00000037,KS000092,PRJ0000011,TRX0000065,Terjual
TKT00000038,KS000006,PRJ0000032,TRX0000091,Dibatalkan
TKT00000039,KS000057,PRJ0000068,TRX0000067,Terjual
TKT00000040,KS000047,PRJ0000048,TRX0000037,Dibatalkan
TKT00000041,KS000053,PRJ0000100,TRX0000044,Terjual
TKT00000042,KS000081,PRJ0000083,TRX0000043,Terjual
TKT00000043,KS000043,PRJ0000013,TRX0000072,Dibatalkan
TKT00000044,KS000037,PRJ0000033,TRX0000093,Terjual
TKT00000045,KS000043,PRJ0000011,TRX0000075,Terjual
TKT00000046,KS000045,PRJ0000040,TRX0000084,Dibatalkan
TKT00000047,KS000017,PRJ0000077,TRX0000091,Terjual
TKT00000048,KS000040,PRJ0000072,TRX0000049,Dibatalkan
TKT00000049,KS000017,PRJ0000086,TRX0000090,Terjual
TKT00000050,KS000083,PRJ0000086,TRX0000055,Dibatalkan
TKT00000051,KS000003,PRJ0000047,TRX0000040,Terjual
TKT00000052,KS000028,PRJ0000044,TRX0000099,Dibatalkan
TKT00000053,KS000025,PRJ0000029,TRX0000018,Terjual
TKT00000054,KS000010,PRJ0000038,TRX0000013,Terjual
TKT00000055,KS000085,PRJ0000044,TRX0000099,Terjual
TKT00000056,KS000077,PRJ0000049,TRX0000020,Terjual
TKT00000057,KS000024,PRJ0000089,TRX0000099,Terjual
TKT00000058,KS000093,PRJ0000057,TRX0000006,Dibatalkan
TKT00000059,KS000047,PRJ0000087,TRX0000093,Terjual
TKT00000060,KS000057,PRJ0000079,TRX0000037,Dibatalkan
TKT00000061,KS000030,PRJ0000069,TRX0000031,Dibatalkan
TKT00000062,KS000061,PRJ0000025,TRX0000048,Dibatalkan
TKT00000063,KS000060,PRJ0000099,TRX0000037,Dibatalkan
TKT00000064,KS000065,PRJ0000068,TRX0000054,Terjual
TKT00000065,KS000026,PRJ0000078,TRX0000018,Dibatalkan
TKT00000066,KS000007,PRJ0000083,TRX0000062,Dibatalkan
TKT00000067,KS000071,PRJ0000014,TRX0000092,Terjual
TKT00000068,KS000037,PRJ0000011,TRX0000098,Terjual
TKT00000069,KS000035,PRJ0000058,TRX0000066,Terjual
TKT00000070,KS000056,PRJ0000012,TRX0000029,Dibatalkan
TKT00000071,KS000045,PRJ0000004,TRX0000054,Terjual
TKT00000072,KS000051,PRJ0000065,TRX0000048,Terjual
TKT00000073,KS000050,PRJ0000011,TRX0000048,Terjual
TKT00000074,KS000004,PRJ0000041,TRX0000013,Dibatalkan
TKT00000075,KS000019,PRJ0000018,TRX0000005,Dibatalkan
TKT00000076,KS000061,PRJ0000090,TRX0000018,Dibatalkan
TKT00000077,KS000058,PRJ0000079,TRX0000001,Terjual
TKT00000078,KS000003,PRJ0000033,TRX0000028,Terjual
TKT00000079,KS000071,PRJ0000094,TRX0000078,Dibatalkan
TKT00000080,KS000015,PRJ0000100,TRX0000037,Terjual
TKT00000081,KS000039,PRJ0000016,TRX0000007,Terjual
TKT00000082,KS000054,PRJ0000082,TRX0000080,Dibatalkan
TKT00000083,KS000009,PRJ0000015,TRX0000064,Terjual
TKT00000084,KS000081,PRJ0000066,TRX0000074,Terjual
TKT00000085,KS000092,PRJ0000019,TRX0000038,Dibatalkan
TKT00000086,KS000001,PRJ0000079,TRX0000046,Terjual
TKT00000087,KS000074,PRJ0000054,TRX0000024,Terjual
TKT00000088,KS000068,PRJ0000047,TRX0000009,Terjual
TKT00000089,KS000050,PRJ0000061,TRX0000006,Dibatalkan
TKT00000090,KS000048,PRJ0000033,TRX0000096,Terjual
TKT00000091,KS000046,PRJ0000009,TRX0000045,Terjual
TKT00000092,KS000094,PRJ0000085,TRX0000081,Terjual
TKT00000093,KS000099,PRJ0000075,TRX0000095,Dibatalkan
TKT00000094,KS000018,PRJ0000006,TRX0000046,Dibatalkan
TKT00000095,KS000083,PRJ0000023,TRX0000100,Dibatalkan
TKT00000096,KS000090,PRJ0000062,TRX0000081,Terjual
TKT00000097,KS000018,PRJ0000009,TRX0000092,Dibatalkan
TKT00000098,KS000005,PRJ0000038,TRX0000026,Terjual
TKT00000099,KS000026,PRJ0000006,TRX0000041,Dibatalkan
TKT00000100,KS000066,PRJ0000051,TRX0000070,Dibatalkan
