ID_Tiket,ID_Kursi,ID_Perjalanan,ID_Transaksi,Status_Tiket
TKT00000001,KS000002,PRJ0000005,TRX0000007,Terjual
TKT00000002,KS000008,PRJ0000001,TRX0000005,Terjual
TKT00000003,KS000009,PRJ0000002,TRX0000005,Terjual
TKT00000004,KS000003,PRJ0000006,TRX0000003,Terjual
TKT00000005,KS000010,PRJ0000006,TRX0000008,Terjual
TKT00000006,KS000002,PRJ0000006,TRX0000005,Terjual
TKT00000007,KS000001,PRJ0000004,TRX0000010,Terjual
TKT00000008,KS000002,PRJ0000008,TRX0000002,Terjual
TKT00000009,KS000003,PRJ0000008,TRX0000009,Terjual
TKT00000010,KS000005,PRJ0000009,TRX0000010,Dibatalkan
