ID_Kursi,Nomor_Kursi,ID_Gerbong
KS000001,1A,GB00001
KS000002,1B,GB00001
KS000003,1C,GB00001
KS000004,1D,GB00001
KS000005,1E,GB00001
KS000006,2A,GB00001
KS000007,2B,GB00001
KS000008,2C,GB00001
KS000009,2D,GB00001
KS000010,2E,GB00001
KS000011,3A,GB00001
KS000012,3B,GB00001
KS000013,3C,GB00001
KS000014,3D,GB00001
KS000015,3E,GB00001
KS000016,4A,GB00001
KS000017,4B,GB00001
KS000018,4C,GB00001
KS000019,4D,GB00001
KS000020,4E,GB00001
KS000021,5A,GB00001
KS000022,5B,GB00001
KS000023,5C,GB00001
KS000024,5D,GB00001
KS000025,5E,GB00001
KS000026,6A,GB00001
KS000027,6B,GB00001
KS000028,6C,GB00001
KS000029,6D,GB00001
KS000030,6E,GB00001
KS000031,7A,GB00001
KS000032,7B,GB00001
KS000033,7C,GB00001
KS000034,7D,GB00001
KS000035,7E,GB00001
KS000036,8A,GB00001
KS000037,8B,GB00001
KS000038,8C,GB00001
KS000039,8D,GB00001
KS000040,8E,GB00001
KS000041,9A,GB00001
KS000042,9B,GB00001
KS000043,9C,GB00001
KS000044,9D,GB00001
KS000045,9E,GB00001
KS000046,10A,GB00001
KS000047,10B,GB00001
KS000048,10C,GB00001
KS000049,10D,GB00001
KS000050,10E,GB00001
KS000051,11A,GB00001
KS000052,11B,GB00001
KS000053,11C,GB00001
KS000054,11D,GB00001
KS000055,11E,GB00001
KS000056,12A,GB00001
KS000057,12B,GB00001
KS000058,12C,GB00001
KS000059,12D,GB00001
KS000060,12E,GB00001
KS000061,13A,GB00001
KS000062,13B,GB00001
KS000063,13C,GB00001
KS000064,13D,GB00001
KS000065,13E,GB00001
KS000066,14A,GB00001
KS000067,14B,GB00001
KS000068,14C,GB00001
KS000069,14D,GB00001
KS000070,14E,GB00001
KS000071,15A,GB00001
KS000072,15B,GB00001
KS000073,15C,GB00001
KS000074,15D,GB00001
KS000075,15E,GB00001
KS000076,16A,GB00001
KS000077,16B,GB00001
KS000078,16C,GB00001
KS000079,16D,GB00001
KS000080,16E,GB00001
KS000081,17A,GB00001
KS000082,17B,GB00001
KS000083,17C,GB00001
KS000084,17D,GB00001
KS000085,17E,GB00001
KS000086,18A,GB00001
KS000087,18B,GB00001
KS000088,18C,GB00001
KS000089,18D,GB00001
KS000090,18E,GB00001
KS000091,19A,GB00001
KS000092,19B,GB00001
KS000093,19C,GB00001
KS000094,19D,GB00001
KS000095,19E,GB00001
KS000096,20A,GB00001
KS000097,20B,GB00001
KS000098,20C,GB00001
KS000099,20D,GB00001
KS000100,20E,GB00001
KS000101,1A,GB00002
KS000102,1B,GB00002
KS000103,1C,GB00002
KS000104,1D,GB00002
KS000105,1E,GB00002
KS000106,2A,GB00002
KS000107,2B,GB00002
KS000108,2C,GB00002
KS000109,2D,GB00002
KS000110,2E,GB00002
KS000111,3A,GB00002
KS000112,3B,GB00002
KS000113,3C,GB00002
KS000114,3D,GB00002
KS000115,3E,GB00002
KS000116,4A,GB00002
KS000117,4B,GB00002
KS000118,4C,GB00002
KS000119,4D,GB00002
KS000120,4E,GB00002
KS000121,5A,GB00002
KS000122,5B,GB00002
KS000123,5C,GB00002
KS000124,5D,GB00002
KS000125,5E,GB00002
KS000126,6A,GB00002
KS000127,6B,GB00002
KS000128,6C,GB00002
KS000129,6D,GB00002
KS000130,6E,GB00002
KS000131,7A,GB00002
KS000132,7B,GB00002
KS000133,7C,GB00002
KS000134,7D,GB00002
KS000135,7E,GB00002
KS000136,8A,GB00002
KS000137,8B,GB00002
KS000138,8C,GB00002
KS000139,8D,GB00002
KS000140,8E,GB00002
KS000141,9A,GB00002
KS000142,9B,GB00002
KS000143,9C,GB00002
KS000144,9D,GB00002
KS000145,9E,GB00002
KS000146,10A,GB00002
KS000147,10B,GB00002
KS000148,10C,GB00002
KS000149,10D,GB00002
KS000150,10E,GB00002
KS000151,11A,GB00002
KS000152,11B,GB00002
KS000153,11C,GB00002
KS000154,11D,GB00002
KS000155,11E,GB00002
KS000156,12A,GB00002
KS000157,12B,GB00002
KS000158,12C,GB00002
KS000159,12D,GB00002
KS000160,12E,GB00002
KS000161,13A,GB00002
KS000162,13B,GB00002
KS000163,13C,GB00002
KS000164,13D,GB00002
KS000165,13E,GB00002
KS000166,14A,GB00002
KS000167,14B,GB00002
KS000168,14C,GB00002
KS000169,14D,GB00002
KS000170,14E,GB00002
KS000171,15A,GB00002
KS000172,15B,GB00002
KS000173,15C,GB00002
KS000174,15D,GB00002
KS000175,15E,GB00002
KS000176,16A,GB00002
KS000177,16B,GB00002
KS000178,16C,GB00002
KS000179,16D,GB00002
KS000180,16E,GB00002
KS000181,17A,GB00002
KS000182,17B,GB00002
KS000183,17C,GB00002
KS000184,17D,GB00002
KS000185,17E,GB00002
KS000186,18A,GB00002
