ID_Stasiun,Nama_Stasiun,Lokasi
ST00001,Stasiun Banjarmasin,Cilegon
ST00002,Stasiun Ambon,Pasuruan
ST00003,Stasiun Tangerang,Sabang
ST00004,Stasiun Lubuklinggau,Tual
ST00005,Stasiun Gorontalo,Bontang
ST00006,Stasiun Subulussalam,Pasuruan
ST00007,Stasiun Balikpapan,Solok
ST00008,Stasiun Ambon,Kota Administrasi Jakarta Barat
ST00009,Stasiun Purwokerto,Kotamobagu
ST00010,Stasiun Binjai,Pontianak
ST00011,Stasiun Tasikmalaya,Padangpanjang
ST00012,Stasiun Padang Sidempuan,Kota Administrasi Jakarta Selatan
ST00013,Stasiun Medan,Dumai
ST00014,Stasiun Banjar,Pangkalpinang
ST00015,Stasiun Kediri,Gorontalo
ST00016,Stasiun Palopo,Pekalongan
ST00017,Stasiun Kediri,Bitung
ST00018,Stasiun Pasuruan,Padangpanjang
ST00019,Stasiun Serang,Ternate
ST00020,Stasiun Surabaya,Magelang
ST00021,Stasiun Sabang,Kotamobagu
ST00022,Stasiun Blitar,Jayapura
ST00023,Stasiun Bukittinggi,Lubuklinggau
ST00024,Stasiun Banjarbaru,Jambi
ST00025,Stasiun Langsa,Lhokseumawe
ST00026,Stasiun Pontianak,Salatiga
ST00027,Stasiun Payakumbuh,Purwokerto
ST00028,Stasiun Manado,Kediri
ST00029,Stasiun Banjarbaru,Tanjungpinang
ST00030,Stasiun Tarakan,Serang
ST00031,Stasiun Probolinggo,Sabang
ST00032,Stasiun Pekalongan,Bengkulu
ST00033,Stasiun Pekanbaru,Parepare
ST00034,Stasiun Singkawang,Palangkaraya
ST00035,Stasiun Samarinda,Ternate
ST00036,Stasiun Pasuruan,Bandar Lampung
ST00037,Stasiun Banjarbaru,Lubuklinggau
ST00038,Stasiun Bitung,Langsa
ST00039,Stasiun Bitung,Padangpanjang
ST00040,Stasiun Kota Administrasi Jakarta Barat,Kota Administrasi Jakarta Barat
ST00041,Stasiun Jambi,Dumai
ST00042,Stasiun Samarinda,Jambi
ST00043,Stasiun Tanjungbalai,Tidore Kepulauan
ST00044,Stasiun Sibolga,Pasuruan
ST00045,Stasiun Banjar,Bengkulu
ST00046,Stasiun Mojokerto,Sabang
ST00047,Stasiun Tanjungpinang,Ambon
ST00048,Stasiun Sungai Penuh,Batu
ST00049,Stasiun Kota Administrasi Jakarta Utara,Ternate
ST00050,Stasiun Bandar Lampung,Singkawang
ST00051,Stasiun Tomohon,Blitar
ST00052,Stasiun Binjai,Palangkaraya
ST00053,Stasiun Kota Administrasi Jakarta Utara,Pekalongan
ST00054,Stasiun Bima,Sukabumi
ST00055,Stasiun Batam,Cimahi
ST00056,Stasiun Metro,Kota Administrasi Jakarta Pusat
ST00057,Stasiun Batam,Tomohon
ST00058,Stasiun Batam,Padangpanjang
ST00059,Stasiun Surakarta,Makassar
ST00060,Stasiun Sibolga,Payakumbuh
ST00061,Stasiun Meulaboh,Batu
ST00062,Stasiun Kota Administrasi Jakarta Pusat,Batu
ST00063,Stasiun Jayapura,Serang
ST00064,Stasiun Bengkulu,Sawahlunto
ST00065,Stasiun Sibolga,Ternate
ST00066,Stasiun Cilegon,Mataram
ST00067,Stasiun Kota Administrasi Jakarta Barat,Tasikmalaya
ST00068,Stasiun Cimahi,Cimahi
ST00069,Stasiun Palembang,Serang
ST00070,Stasiun Samarinda,Padangpanjang
ST00071,Stasiun Cimahi,Tangerang
ST00072,Stasiun Tidore Kepulauan,Ambon
ST00073,Stasiun Tanjungpinang,Tangerang
ST00074,Stasiun Balikpapan,Mojokerto
ST00075,Stasiun Pontianak,Balikpapan
ST00076,Stasiun Surakarta,Surabaya
ST00077,Stasiun Balikpapan,Tarakan
ST00078,Stasiun Tidore Kepulauan,Surakarta
ST00079,Stasiun Pagaralam,Batam
ST00080,Stasiun Bontang,Tidore Kepulauan
ST00081,Stasiun Tarakan,Tomohon
ST00082,Stasiun Cilegon,Blitar
ST00083,Stasiun Subulussalam,Madiun
ST00084,Stasiun Palangkaraya,Kota Administrasi Jakarta Selatan
ST00085,Stasiun Kota Administrasi Jakarta Selatan,Ambon
ST00086,Stasiun Batu,Singkawang
ST00087,Stasiun Jambi,Kota Administrasi Jakarta Pusat
ST00088,Stasiun Kendari,Sawahlunto
ST00089,Stasiun Bogor,Lhokseumawe
ST00090,Stasiun Meulaboh,Langsa
ST00091,Stasiun Meulaboh,Dumai
ST00092,Stasiun Semarang,Metro
ST00093,Stasiun Samarinda,Purwokerto
ST00094,Stasiun Tidore Kepulauan,Yogyakarta
ST00095,Stasiun Banda Aceh,Padang Sidempuan
ST00096,Stasiun Lhokseumawe,Medan
ST00097,Stasiun Magelang,Bengkulu
ST00098,Stasiun Surabaya,Tanjungbalai
ST00099,Stasiun Banjarbaru,Bogor
ST00100,Stasiun Kota Administrasi Jakarta Utara,Prabumulih
ST00101,Stasiun Kupang,Madiun
ST00102,Stasiun Parepare,Sukabumi
ST00103,Stasiun Solok,Probolinggo
ST00104,Stasiun Dumai,Sawahlunto
ST00105,Stasiun Kota Administrasi Jakarta Timur,Banjarbaru
ST00106,Stasiun Batam,Magelang
ST00107,Stasiun Pontianak,Parepare
ST00108,Stasiun Jayapura,Kota Administrasi Jakarta Pusat
ST00109,Stasiun Langsa,Bogor
ST00110,Stasiun Binjai,Sawahlunto
ST00111,Stasiun Tangerang Selatan,Tanjungbalai
ST00112,Stasiun Salatiga,Sawahlunto
ST00113,Stasiun Sawahlunto,Kupang
ST00114,Stasiun Solok,Depok
ST00115,Stasiun Parepare,Blitar
ST00116,Stasiun Tebingtinggi,Lubuklinggau
ST00117,Stasiun Tangerang,Bandung
ST00118,Stasiun Tanjungbalai,Semarang
ST00119,Stasiun Purwokerto,Lubuklinggau
ST00120,Stasiun Lubuklinggau,Bandar Lampung
ST00121,Stasiun Batu,Lhokseumawe
ST00122,Stasiun Palu,Batam
ST00123,Stasiun Kota Administrasi Jakarta Selatan,Pasuruan
ST00124,Stasiun Pariaman,Pekanbaru
ST00125,Stasiun Tarakan,Bontang
ST00126,Stasiun Tangerang Selatan,Cimahi
ST00127,Stasiun Sukabumi,Palembang
ST00128,Stasiun Tasikmalaya,Pariaman
ST00129,Stasiun Bukittinggi,Medan
ST00130,Stasiun Serang,Medan
ST00131,Stasiun Palopo,Cilegon
ST00132,Stasiun Bontang,Kota Administrasi Jakarta Barat
ST00133,Stasiun Padang,Bekasi
ST00134,Stasiun Manado,Bontang
ST00135,Stasiun Solok,Cimahi
ST00136,Stasiun Singkawang,Bogor
ST00137,Stasiun Bukittinggi,Lhokseumawe
ST00138,Stasiun Sungai Penuh,Tebingtinggi
ST00139,Stasiun Bau-Bau,Yogyakarta
ST00140,Stasiun Padang,Bontang
ST00141,Stasiun Pekanbaru,Pariaman
ST00142,Stasiun Banda Aceh,Tarakan
ST00143,Stasiun Surabaya,Sabang
ST00144,Stasiun Pariaman,Bau-Bau
ST00145,Stasiun Mojokerto,Kediri
ST00146,Stasiun Sukabumi,Solok
ST00147,Stasiun Bitung,Tidore Kepulauan
ST00148,Stasiun Banjar,Pematangsiantar
ST00149,Stasiun Cilegon,Kota Administrasi Jakarta Selatan
ST00150,Stasiun Depok,Palangkaraya
ST00151,Stasiun Subulussalam,Kota Administrasi Jakarta Timur
ST00152,Stasiun Kota Administrasi Jakarta Selatan,Prabumulih
ST00153,Stasiun Tual,Sorong
ST00154,Stasiun Sungai Penuh,Tangerang
ST00155,Stasiun Bau-Bau,Banjarmasin
ST00156,Stasiun Bengkulu,Kota Administrasi Jakarta Selatan
ST00157,Stasiun Sibolga,Bekasi
ST00158,Stasiun Binjai,Bau-Bau
ST00159,Stasiun Padang Sidempuan,Pekanbaru
ST00160,Stasiun Bekasi,Purwokerto
ST00161,Stasiun Langsa,Sorong
ST00162,Stasiun Banjarmasin,Bontang
ST00163,Stasiun Jayapura,Madiun
ST00164,Stasiun Semarang,Dumai
ST00165,Stasiun Denpasar,Yogyakarta
ST00166,Stasiun Padang Sidempuan,Ambon
ST00167,Stasiun Tarakan,Bogor
ST00168,Stasiun Sibolga,Bontang
ST00169,Stasiun Salatiga,Kota Administrasi Jakarta Barat
ST00170,Stasiun Pangkalpinang,Palopo
ST00171,Stasiun Banjar,Tarakan
ST00172,Stasiun Bengkulu,Tarakan
ST00173,Stasiun Sorong,Jayapura
ST00174,Stasiun Cilegon,Surakarta
ST00175,Stasiun Kota Administrasi Jakarta Barat,Tarakan
ST00176,Stasiun Jayapura,Tanjungbalai
ST00177,Stasiun Tebingtinggi,Lubuklinggau
ST00178,Stasiun Palangkaraya,Padang
ST00179,Stasiun Bogor,Parepare
ST00180,Stasiun Bengkulu,Bau-Bau
ST00181,Stasiun Jayapura,Kota Administrasi Jakarta Pusat
ST00182,Stasiun Sawahlunto,Denpasar
ST00183,Stasiun Kediri,Bontang
ST00184,Stasiun Tanjungbalai,Jambi
ST00185,Stasiun Tebingtinggi,Serang
ST00186,Stasiun Tanjungpinang,Palu
ST00187,Stasiun Sawahlunto,Ambon
ST00188,Stasiun Bengkulu,Sorong
ST00189,Stasiun Ternate,Batam
ST00190,Stasiun Pontianak,Padang Sidempuan
ST00191,Stasiun Dumai,Samarinda
ST00192,Stasiun Tegal,Mataram
ST00193,Stasiun Sorong,Banjarmasin
ST00194,Stasiun Sabang,Sungai Penuh
ST00195,Stasiun Kendari,Bukittinggi
ST00196,Stasiun Subulussalam,Balikpapan
ST00197,Stasiun Lubuklinggau,Tasikmalaya
ST00198,Stasiun Banjarbaru,Kota Administrasi Jakarta Selatan
ST00199,Stasiun Bitung,Palopo
ST00200,Stasiun Semarang,Tangerang
ST00201,Stasiun Kota Administrasi Jakarta Timur,Tarakan
ST00202,Stasiun Tanjungbalai,Sibolga
ST00203,Stasiun Pematangsiantar,Dumai
ST00204,Stasiun Pekanbaru,Bima
ST00205,Stasiun Tarakan,Metro
ST00206,Stasiun Banjarbaru,Lubuklinggau
ST00207,Stasiun Palopo,Kota Administrasi Jakarta Utara
ST00208,Stasiun Ternate,Solok
ST00209,Stasiun Lhokseumawe,Ternate
ST00210,Stasiun Probolinggo,Pekanbaru
ST00211,Stasiun Bukittinggi,Mataram
ST00212,Stasiun Cilegon,Mojokerto
ST00213,Stasiun Pariaman,Palembang
ST00214,Stasiun Sibolga,Denpasar
ST00215,Stasiun Kendari,Singkawang
ST00216,Stasiun Sabang,Pagaralam
ST00217,Stasiun Cimahi,Semarang
ST00218,Stasiun Kediri,Padang Sidempuan
ST00219,Stasiun Banjarbaru,Tasikmalaya
ST00220,Stasiun Kota Administrasi Jakarta Utara,Kupang
ST00221,Stasiun Tidore Kepulauan,Lhokseumawe
ST00222,Stasiun Pariaman,Ambon
ST00223,Stasiun Binjai,Payakumbuh
ST00224,Stasiun Pariaman,Pematangsiantar
ST00225,Stasiun Langsa,Kota Administrasi Jakarta Selatan
ST00226,Stasiun Bandar Lampung,Bukittinggi
ST00227,Stasiun Surabaya,Padang
ST00228,Stasiun Payakumbuh,Depok
ST00229,Stasiun Tanjungpinang,Kota Administrasi Jakarta Barat
ST00230,Stasiun Tanjungpinang,Bukittinggi
ST00231,Stasiun Meulaboh,Bitung
ST00232,Stasiun Kota Administrasi Jakarta Barat,Kota Administrasi Jakarta Pusat
ST00233,Stasiun Bitung,Balikpapan
ST00234,Stasiun Tomohon,Solok
ST00235,Stasiun Bontang,Tomohon
ST00236,Stasiun Bogor,Solok
ST00237,Stasiun Cirebon,Kota Administrasi Jakarta Utara
ST00238,Stasiun Tarakan,Subulussalam
ST00239,Stasiun Sungai Penuh,Kupang
ST00240,Stasiun Pontianak,Kota Administrasi Jakarta Selatan
ST00241,Stasiun Padang Sidempuan,Kota Administrasi Jakarta Barat
ST00242,Stasiun Madiun,Pekanbaru
ST00243,Stasiun Kota Administrasi Jakarta Utara,Bandar Lampung
ST00244,Stasiun Salatiga,Dumai
ST00245,Stasiun Bogor,Pariaman
ST00246,Stasiun Banda Aceh,Semarang
ST00247,Stasiun Bitung,Padang Sidempuan
ST00248,Stasiun Pekalongan,Meulaboh
ST00249,Stasiun Jambi,Magelang
