ID_Perjalanan,ID_StasiunAwal,ID_StasiunTujuan,ID_Kereta,Tgl_Keberangkatan,Waktu_Keberangkatan,Tgl_Tiba,Waktu_Tiba,Harga_Tiket
PRJ0000001,ST06566,ST07859,KRT05587,2025-11-11,02:24:34,2025-11-11,06:24:34,321332
PRJ0000002,ST03043,ST02843,KRT07423,2025-11-04,14:47:31,2025-11-04,16:47:31,333768
PRJ0000003,ST06946,ST06562,KRT05902,2025-10-24,00:15:36,2025-10-24,05:15:36,423788
PRJ0000004,ST09135,ST00877,KRT09834,2025-11-10,07:33:45,2025-11-10,15:33:45,75378
PRJ0000005,ST01007,ST06690,KRT07582,2025-10-27,16:46:47,2025-10-27,21:46:47,205274
PRJ0000006,ST00882,ST00649,KRT06500,2025-10-28,16:05:17,2025-10-28,19:05:17,175736
PRJ0000007,ST02509,ST09560,KRT06255,2025-11-12,04:01:46,2025-11-12,10:01:46,377642
PRJ0000008,ST06213,ST08296,KRT01185,2025-11-15,04:04:18,2025-11-15,05:04:18,218663
PRJ0000009,ST01124,ST09483,KRT02455,2025-11-07,07:57:19,2025-11-07,12:57:19,269095
PRJ0000010,ST05203,ST09719,KRT07267,2025-11-06,19:07:31,2025-11-07,00:07:31,300106
PRJ0000011,ST07913,ST06313,KRT07101,2025-10-26,14:05:51,2025-10-26,16:05:51,117568
PRJ0000012,ST08409,ST05595,KRT04635,2025-10-30,20:13:27,2025-10-31,00:13:27,68029
PRJ0000013,ST00059,ST00049,KRT03810,2025-11-08,10:02:24,2025-11-08,11:02:24,124572
PRJ0000014,ST07733,ST07011,KRT07111,2025-10-23,23:22:49,2025-10-24,07:22:49,141730
PRJ0000015,ST00472,ST06039,KRT01116,2025-10-27,14:12:56,2025-10-27,16:12:56,263073
PRJ0000016,ST03837,ST06368,KRT05525,2025-11-07,20:08:18,2025-11-08,01:08:18,175072
PRJ0000017,ST09978,ST02915,KRT04221,2025-11-14,01:43:24,2025-11-14,05:43:24,252688
PRJ0000018,ST09274,ST09881,KRT09650,2025-10-20,14:54:51,2025-10-20,22:54:51,410907
PRJ0000019,ST08840,ST05902,KRT04874,2025-11-11,04:58:15,2025-11-11,06:58:15,95768
PRJ0000020,ST06598,ST01121,KRT05615,2025-11-01,06:39:13,2025-11-01,09:39:13,421630
PRJ0000021,ST05679,ST09869,KRT06808,2025-11-18,06:14:02,2025-11-18,12:14:02,397984
PRJ0000022,ST09767,ST03044,KRT08536,2025-11-12,14:26:45,2025-11-12,18:26:45,65360
PRJ0000023,ST03715,ST01847,KRT02865,2025-10-28,05:45:01,2025-10-28,10:45:01,453188
PRJ0000024,ST06128,ST06273,KRT05895,2025-10-28,22:20:11,2025-10-28,23:20:11,130476
PRJ0000025,ST01592,ST09208,KRT03340,2025-10-24,18:49:30,2025-10-24,22:49:30,277537
