ID_Gerbong,Nomor_Gerbong,Kapasitas,ID_Kereta
GB00001,3,50,KRT00387
GB00002,1,60,KRT01756
GB00003,14,80,KRT01223
GB00004,1,60,KRT03746
GB00005,2,50,KRT01654
GB00006,12,40,KRT06178
GB00007,16,60,KRT09013
GB00008,13,60,KRT06624
GB00009,8,50,KRT05407
GB00010,8,60,KRT09011
GB00011,3,40,KRT00052
GB00012,11,40,KRT01942
GB00013,9,72,KRT06892
GB00014,9,50,KRT08038
GB00015,17,80,KRT06955
GB00016,4,60,KRT07741
GB00017,8,80,KRT05521
GB00018,11,40,KRT02242
GB00019,18,40,KRT07358
GB00020,16,60,KRT01614
GB00021,5,50,KRT09704
GB00022,12,80,KRT08156
GB00023,17,40,KRT05593
GB00024,12,60,KRT02536
GB00025,13,40,KRT09807
GB00026,15,50,KRT03721
GB00027,13,40,KRT02516
GB00028,10,60,KRT07130
GB00029,12,60,KRT06928
GB00030,15,72,KRT02316
GB00031,2,60,KRT01060
GB00032,15,40,KRT00448
GB00033,15,50,KRT01002
GB00034,17,72,KRT02008
GB00035,12,72,KRT04319
GB00036,16,80,KRT03767
GB00037,16,40,KRT03548
GB00038,4,72,KRT05211
GB00039,10,50,KRT08685
GB00040,1,50,KRT07247
GB00041,10,40,KRT04944
GB00042,17,60,KRT07521
GB00043,6,72,KRT00817
GB00044,6,80,KRT02831
GB00045,11,60,KRT06463
GB00046,17,72,KRT02417
GB00047,15,50,KRT09094
GB00048,17,60,KRT00749
GB00049,15,72,KRT07023
GB00050,9,50,KRT00169
GB00051,15,72,KRT03390
GB00052,5,72,KRT01108
GB00053,7,60,KRT03412
GB00054,18,72,KRT07797
GB00055,14,50,KRT05868
GB00056,20,50,KRT03570
GB00057,17,72,KRT08257
GB00058,16,80,KRT00854
GB00059,14,40,KRT04314
GB00060,17,80,KRT06446
GB00061,19,50,KRT02890
GB00062,2,60,KRT06071
GB00063,8,60,KRT00099
GB00064,12,40,KRT08599
GB00065,20,50,KRT07771
GB00066,7,80,KRT06851
GB00067,3,60,KRT09768
GB00068,15,72,KRT04217
GB00069,1,60,KRT03144
GB00070,11,72,KRT07377
GB00071,2,72,KRT08196
GB00072,20,72,KRT08189
GB00073,11,60,KRT04173
GB00074,6,72,KRT01262
GB00075,19,40,KRT03953
GB00076,17,60,KRT02412
GB00077,6,72,KRT03442
GB00078,13,50,KRT07462
GB00079,7,50,KRT00978
GB00080,6,50,KRT02413
GB00081,16,40,KRT01744
GB00082,3,72,KRT06079
GB00083,16,72,KRT09941
GB00084,4,72,KRT01747
GB00085,14,50,KRT00938
GB00086,10,50,KRT08900
GB00087,12,40,KRT04735
GB00088,9,80,KRT06622
GB00089,19,80,KRT03813
GB00090,2,60,KRT02880
GB00091,4,72,KRT09480
GB00092,1,50,KRT09577
GB00093,6,50,KRT00485
GB00094,6,72,KRT09317
GB00095,18,40,KRT01568
GB00096,9,50,KRT06513
GB00097,9,72,KRT01269
GB00098,2,72,KRT08952
GB00099,1,40,KRT07383
GB00100,15,40,KRT03540
GB00101,3,72,KRT03179
GB00102,15,40,KRT05611
GB00103,1,40,KRT04772
GB00104,19,50,KRT03419
GB00105,6,72,KRT07518
GB00106,6,60,KRT04582
GB00107,13,80,KRT03668
GB00108,4,72,KRT02620
GB00109,19,60,KRT07268
GB00110,14,50,KRT09097
GB00111,1,80,KRT03643
GB00112,19,40,KRT06516
GB00113,11,60,KRT00998
GB00114,6,60,KRT09012
GB00115,11,40,KRT09890
GB00116,8,80,KRT03685
GB00117,5,72,KRT02589
GB00118,16,50,KRT08863
GB00119,3,50,KRT09382
GB00120,4,72,KRT03641
GB00121,12,40,KRT04891
GB00122,19,72,KRT00975
GB00123,5,72,KRT06878
GB00124,15,72,KRT05426
GB00125,6,72,KRT02724
GB00126,18,60,KRT05832
GB00127,7,80,KRT08016
GB00128,9,80,KRT09608
GB00129,12,40,KRT07417
GB00130,1,80,KRT08948
GB00131,14,60,KRT00046
GB00132,14,72,KRT05954
GB00133,14,40,KRT02780
GB00134,2,80,KRT00168
GB00135,4,80,KRT02815
GB00136,20,40,KRT02719
GB00137,6,40,KRT06086
GB00138,10,50,KRT00534
GB00139,9,60,KRT08884
GB00140,19,40,KRT09582
GB00141,8,50,KRT02571
GB00142,12,50,KRT04052
GB00143,7,50,KRT00108
GB00144,6,50,KRT05858
GB00145,3,40,KRT02523
GB00146,12,60,KRT05637
GB00147,2,40,KRT03707
GB00148,11,60,KRT05384
GB00149,2,50,KRT06633
GB00150,19,80,KRT09084
GB00151,18,60,KRT03411
GB00152,20,50,KRT04024
GB00153,7,50,KRT04826
GB00154,8,72,KRT02675
GB00155,19,72,KRT02167
GB00156,1,80,KRT00437
GB00157,12,80,KRT08821
GB00158,8,40,KRT02070
GB00159,9,60,KRT01483
GB00160,6,80,KRT00943
GB00161,15,60,KRT09805
GB00162,13,60,KRT09850
GB00163,20,50,KRT00925
GB00164,4,50,KRT03977
GB00165,16,72,KRT03246
GB00166,3,72,KRT07534
GB00167,10,80,KRT06090
GB00168,9,50,KRT01075
GB00169,1,72,KRT02987
GB00170,20,60,KRT01523
GB00171,19,50,KRT07343
GB00172,11,80,KRT01603
GB00173,19,50,KRT02963
GB00174,13,72,KRT01246
GB00175,8,40,KRT07891
GB00176,12,50,KRT06567
GB00177,5,72,KRT04491
GB00178,16,60,KRT02477
GB00179,17,72,KRT04127
GB00180,13,40,KRT02325
GB00181,1,80,KRT06976
GB00182,4,72,KRT03745
GB00183,1,40,KRT09357
GB00184,19,50,KRT08734
GB00185,9,60,KRT02252
GB00186,9,40,KRT03131
GB00187,6,40,KRT01029
GB00188,12,50,KRT05438
GB00189,12,40,KRT05207
GB00190,4,60,KRT03439
